day_order,day,tray_no,tray,capture_id,d_path,overlay_path,cell_count,status
1,Day 1,1,Tray 1,DJI_20260618123542_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 1\DJI_20260618123542_0001_70_cell_rgb_grid_overlay.jpg,70,PASS
1,Day 1,2,Tray 2,DJI_20260618123812_0002,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 2\DJI_20260618123812_0002_70_cell_rgb_grid_overlay.jpg,70,PASS
1,Day 1,3,Tray 3,DJI_20260618124121_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 3\DJI_20260618124121_0003_70_cell_rgb_grid_overlay.jpg,70,PASS
1,Day 1,4,Tray 4,DJI_20260618124235_0004,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 4\DJI_20260618124235_0004_70_cell_rgb_grid_overlay.jpg,70,PASS
1,Day 1,5,Tray 5,DJI_20260618124331_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 5\DJI_20260618124331_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 5\DJI_20260618124331_0005_70_cell_rgb_grid_overlay.jpg,70,PASS
1,Day 1,6,Tray 6,DJI_20260618124449_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 6\DJI_20260618124449_0006_70_cell_rgb_grid_overlay.jpg,70,PASS
1,Day 1,7,Tray 7,DJI_20260618124541_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 7\DJI_20260618124541_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 7\DJI_20260618124541_0007_70_cell_rgb_grid_overlay.jpg,70,PASS
1,Day 1,8,Tray 8,DJI_20260618124632_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 8\DJI_20260618124632_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 1\Tray 8\DJI_20260618124632_0008_70_cell_rgb_grid_overlay.jpg,70,PASS
2,Day 2,1,Tray 1,DJI_20260620131000_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 1\DJI_20260620131000_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 1\DJI_20260620131000_0001_70_cell_rgb_grid_overlay.jpg,70,PASS
2,Day 2,2,Tray 2,DJI_20260620131052_0002,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 2\DJI_20260620131052_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 2\DJI_20260620131052_0002_70_cell_rgb_grid_overlay.jpg,70,PASS
